Feature,Mean,Std,Min,Max
ema_9,47076.291778731356,31392.842012025496,0.0,125111.25277054323
ema_21,47065.438653526835,31390.637690365777,0.0,124667.11643638073
ema_50,47039.2000666573,31385.68537594776,0.0,124031.47673128858
ema_100,46993.83527282081,31377.371761554325,0.0,122826.01861883399
ema_200,46902.422602420316,31360.631247821773,0.0,121156.25401904629
macd,10.747098869425937,340.87084660474943,-2434.5334785931045,2390.73592191872
macd_signal,10.757529206911656,320.04508106822715,-2230.2798034168477,1991.8154584346753
macd_hist,-0.010430337485718649,104.92755996005643,-947.873490910273,884.8894829471171
rsi_14,50.8813481182042,12.153080829792868,0.0,95.85426704876629
atr_14,380.76873560105514,283.2166565542801,0.0,2324.3702564839737
adx_14,27.49374000473542,11.900264923342288,0.0,82.7641953039646
bb_upper,47866.021661288985,31807.114612087196,0.0,126137.06974810464
bb_middle,47066.36737077357,31393.207274511078,0.0,124829.17350000015
bb_lower,46266.71308025813,30993.876481108953,0.0,123845.61685357877
bb_width,3.5922929427078465,3.071854481121942,0.0,56.76729104396075
obv,879385.9187244126,469288.4726021934,-415030.46840100165,1453411.6791639898
hmm_regime_high,0.2471886555102352,0.4313814680363219,0.0,1.0
hmm_regime_duration,44.42297869096176,102.04403248614005,1.0,1078.0
ema_alignment,0.09684367018640644,1.2581304235326964,-1.5,1.5
trend_strong_bull,0.2406320283612244,0.42747133020600336,0.0,1.0
volume_percentile,50.00040673370155,30.131696097068044,1.0,100.0
volume_trend,0.009640925489061765,0.4000705587912584,-0.8124894006911243,2.391934191687156
